n,Divide and Conquer,Dynamic Programming
16920050,1196,41
16930050,1182,39
16940050,1204,42
16950050,1189,41
16960050,1195,39
16970050,1188,42
16980050,1261,42
16990050,1206,40
17000050,1221,40
17010050,1195,39
17020050,1204,40
17030050,1227,43
17040050,1238,40
17050050,1316,41
17060050,1197,42
17070050,1238,41
17080050,1250,43
17090050,1221,41
17100050,1235,40
17110050,1233,41
17120050,1247,43
17130050,1209,43
17140050,1224,43
17150050,1252,40
17160050,1212,41
17170050,1231,41
17180050,1238,41
17190050,1240,41
17200050,1243,44
17210050,1243,41
17220050,1273,40
17230050,1231,46
17240050,1224,50
17250050,1229,39
17260050,1205,41
17270050,1233,41
